164Dy(3He,alpha)163Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Nyhus et al., PRC 85, 014323 (2012)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Eg(MeV)	 f(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
1.220	 1.3904E-08	 2.1272E-09	 3.6624E-09
1.340	 1.5740E-08	 1.8637E-09	 3.7802E-09
1.460	 1.7879E-08	 1.8869E-09	 4.1031E-09
1.580	 2.0759E-08	 1.7513E-09	 4.4863E-09
1.700	 1.9276E-08	 1.7404E-09	 4.1339E-09
1.820	 2.2753E-08	 1.7413E-09	 4.6715E-09
1.940	 2.1496E-08	 1.8695E-09	 4.4324E-09
2.060	 2.5057E-08	 1.9381E-09	 4.9987E-09
2.180	 2.9375E-08	 2.1218E-09	 5.7343E-09
2.300	 3.7188E-08	 2.3998E-09	 7.0892E-09
2.420	 4.1784E-08	 2.1566E-09	 7.7439E-09
2.540	 4.6605E-08	 2.6085E-09	 8.6623E-09
2.660	 5.1453E-08	 2.5955E-09	 9.4757E-09
2.780	 4.9975E-08	 2.7674E-09	 9.2997E-09
2.900	 5.2004E-08	 3.1126E-09	 9.8081E-09
3.020	 5.0249E-08	 3.0696E-09	 9.5855E-09
3.140	 5.4601E-08	 3.3751E-09	 1.0558E-08
3.260	 5.1402E-08	 3.3450E-09	 1.0148E-08
3.380	 5.3041E-08	 3.7543E-09	 1.0763E-08
3.500	 5.0936E-08	 3.7481E-09	 1.0595E-08
3.620	 4.7541E-08	 4.1147E-09	 1.0339E-08
3.740	 5.6136E-08	 4.6636E-09	 1.2418E-08
3.860	 4.8676E-08	 4.8803E-09	 1.1373E-08
3.980	 6.4501E-08	 5.7446E-09	 1.5163E-08
4.100	 5.7597E-08	 6.9854E-09	 1.4698E-08
4.220	 6.5653E-08	 8.1621E-09	 1.7276E-08
4.340	 7.9856E-08	 8.6259E-09	 2.0997E-08
4.460	 7.4216E-08	 1.0480E-08	 2.1174E-08
4.580	 8.6300E-08	 9.5941E-09	 2.4121E-08
4.700	 8.4265E-08	 1.2058E-08	 2.5402E-08
4.820	 8.5560E-08	 1.1596E-08	 2.6193E-08
4.940	 1.1315E-07	 1.6792E-08	 3.6254E-08
5.060	 9.4932E-08	 1.5560E-08	 3.1932E-08
5.180	 8.5790E-08	 1.5031E-08	 3.0083E-08
5.300	 1.0532E-07	 2.3477E-08	 4.0558E-08
5.420	 1.2410E-07	 2.7028E-08	 4.8501E-08
5.540	 1.8542E-07	 3.7036E-08	 7.2361E-08
5.660	 1.9160E-07	 4.5416E-08	 8.0391E-08
5.780	 1.0956E-07	 3.9363E-08	 5.5519E-08
5.900	 1.3153E-07	 4.4105E-08	 6.5555E-08
6.020	 1.5116E-07	 6.8611E-08	 8.9509E-08
6.140	 5.4309E-07	 1.6994E-07	 2.7242E-07
6.260	 1.9889E-07	 1.3309E-07	 1.5546E-07
