164Dy(3He,alpha)163Dy from Renstroem et al., PRC 98, 054310 (2018)
Data first presented in Nyhus et al., PRC 85, 014323 (2012)
The err is the uncertainty straight out from rhosigchi.f
The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
ACL, 4 April 2019
Ex(MeV)	 rho(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
-0.220	 4.8182E+00	 7.5722E-01	 8.4218E-01
-0.100	 9.6717E+00	 1.0859E+00	 1.2616E+00
0.020	 1.5523E+01	 1.8784E+00	 2.0713E+00
0.140	 2.0199E+01	 2.2815E+00	 2.4634E+00
0.260	 3.1861E+01	 2.4002E+00	 2.6559E+00
0.380	 3.2645E+01	 3.0280E+00	 3.1388E+00
0.500	 4.3336E+01	 3.5975E+00	 3.6549E+00
0.620	 5.3243E+01	 4.2527E+00	 4.2594E+00
0.740	 7.4541E+01	 5.4485E+00	 5.4690E+00
0.860	 1.0532E+02	 6.4068E+00	 6.6508E+00
0.980	 1.2207E+02	 7.1881E+00	 7.9420E+00
1.100	 1.2650E+02	 8.3904E+00	 9.6994E+00
1.220	 1.4112E+02	 9.8980E+00	 1.2102E+01
1.340	 1.7307E+02	 1.2576E+01	 1.6342E+01
1.460	 2.1402E+02	 1.3573E+01	 2.0427E+01
1.580	 2.8185E+02	 1.8347E+01	 2.9606E+01
1.700	 3.4692E+02	 1.9472E+01	 3.7871E+01
1.820	 4.5862E+02	 2.8765E+01	 5.6052E+01
1.940	 5.3903E+02	 2.7749E+01	 6.8530E+01
2.060	 7.3661E+02	 4.3667E+01	 1.0369E+02
2.180	 9.3494E+02	 6.1287E+01	 1.4385E+02
2.300	 1.3074E+03	 8.0072E+01	 2.1278E+02
2.420	 1.5502E+03	 1.1063E+02	 2.7510E+02
2.540	 2.1211E+03	 1.4355E+02	 3.9649E+02
2.660	 2.6698E+03	 1.9220E+02	 5.3271E+02
2.780	 3.2015E+03	 2.1239E+02	 6.6864E+02
2.900	 3.7047E+03	 3.0712E+02	 8.3665E+02
3.020	 5.0293E+03	 4.3856E+02	 1.2004E+03
3.140	 5.8644E+03	 4.8909E+02	 1.4591E+03
3.260	 8.3226E+03	 7.4807E+02	 2.1853E+03
3.380	 7.4937E+03	 7.9677E+02	 2.0988E+03
3.500	 1.0081E+04	 1.0580E+03	 2.9354E+03
3.620	 1.3979E+04	 1.6424E+03	 4.2987E+03
3.740	 1.8951E+04	 2.3386E+03	 6.0927E+03
3.860	 2.0988E+04	 2.9474E+03	 7.1362E+03
3.980	 2.2946E+04	 3.8382E+03	 8.3369E+03
4.100	 3.9662E+04	 5.7522E+03	 1.4497E+04
4.220	 3.9902E+04	 7.5755E+03	 1.5839E+04
4.340	 4.9435E+04	 1.0742E+04	 2.0862E+04
4.460	 7.5126E+04	 1.5305E+04	 3.2065E+04
4.580	 7.4972E+04	 1.7153E+04	 3.3799E+04
4.700	 6.9489E+04	 2.7655E+04	 3.9305E+04
4.820	 1.1496E+05	 3.9256E+04	 6.1831E+04
4.940	 1.5307E+05	 6.6651E+04	 9.3593E+04
5.060	 2.4833E+05	 9.4305E+04	 1.4491E+05
5.180	 2.4477E+05	 1.4427E+05	 1.8255E+05
5.300	 4.7365E+05	 2.4257E+05	 3.2957E+05
