 Parameters used:

First geneneration spectra extracted for
excitation energies between 15020.-   20. keV
corresponding to y-channels   131 -    6
 Number of spectra=  126
 Ax0 =     0.0 Ax1 =    19.4 Ay0 =  -700.0 Ay1 =   120.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 0
 Experimental lower gamma threshold:      200.0 keV (ch=  10)
 Upper threshold for statistical gammas:  430.0 keV (ch=  22)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = ****
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
131 15020.    23602.    17831.     5771. 9.36    1000  1.00  4.09  9.36  3.50  8.09
130 14900.    24057.    18184.     5873. 9.25       0  1.00  4.10  9.25  3.34  8.10
129 14780.    25172.    18613.     6559. 9.34    1000  1.00  3.84  9.34  3.26  8.10
128 14660.    25803.    18852.     6952. 9.34    1000  1.00  3.71  9.34  3.21  8.05
127 14540.    26580.    19224.     7356. 9.32    1000  1.00  3.61  9.32  3.13  8.03
126 14420.    27375.    19519.     7856. 9.33       0  1.00  3.48  9.33  2.99  8.08
125 14300.    27730.    19516.     8214. 9.33       0  1.00  3.38  9.33  2.92  8.07
124 14180.    28657.    20111.     8546. 9.24    1000  1.00  3.35  9.24  2.84  8.05
123 14060.    28965.    20090.     8875. 9.22    1000  1.00  3.26  9.22  2.81  7.98
122 13940.    30028.    20882.     9146. 9.08    1000  1.00  3.28  9.08  2.82  7.85
121 13820.    30560.    20576.     9984. 9.25    1000  1.00  3.06  9.25  2.64  8.02
120 13700.    30731.    20411.    10320. 9.25    1000  1.00  2.98  9.25  2.61  7.97
119 13580.    30825.    20619.    10206. 9.06    1000  1.00  3.02  9.06  2.62  7.83
118 13460.    32128.    20935.    11193. 9.17    1000  1.00  2.87  9.17  2.52  7.91
117 13340.    32613.    21146.    11467. 9.08    1000  1.00  2.84  9.08  2.50  7.82
116 13220.    32909.    21287.    11622. 8.98    1000  1.00  2.83  8.98  2.49  7.73
115 13100.    33712.    21505.    12208. 8.98    1000  1.00  2.76  8.98  2.42  7.75
114 12980.    34141.    21400.    12741. 9.00    1000  1.00  2.68  9.00  2.34  7.82
113 12860.    33854.    20663.    13190. 9.12    1000  1.00  2.57  9.12  2.30  7.83
112 12740.    34744.    20920.    13824. 9.11    1000  1.00  2.51  9.11  2.25  7.83
111 12620.    35087.    20937.    14150. 9.06    1000  1.00  2.48  9.06  2.26  7.71
110 12500.    36073.    20911.    15163. 9.19    1000  1.00  2.38  9.19  2.19  7.81
109 12380.    35605.    20524.    15080. 9.10    1000  1.00  2.36  9.10  2.17  7.75
108 12260.    35730.    20285.    15445. 9.10    1000  1.00  2.31  9.10  2.16  7.70
107 12140.    36608.    20314.    16293. 9.17    1000  1.00  2.25  9.17  2.10  7.76
106 12020.    36683.    20127.    16556. 9.12    1000  1.00  2.22  9.12  2.08  7.73
105 11900.    37127.    20267.    16860. 9.02    1000  1.00  2.20  9.02  2.05  7.70
