nld(3he,3he)Dy164
   No    Ex(MeV)    Rho(1/MeV)    dRho(1/MeV)
   1      0.000      0.358E+01      0.147E+00
   2      0.120      0.589E+01      0.174E+00
   3      0.240      0.737E+01      0.196E+00
   4      0.360      0.721E+01      0.264E+00
   5      0.480      0.637E+01      0.251E+00
   6      0.600      0.698E+01      0.298E+00
   7      0.720      0.826E+01      0.364E+00
   8      0.840      0.130E+02      0.416E+00
   9      0.960      0.173E+02      0.507E+00
  10      1.080      0.199E+02      0.588E+00
  11      1.200      0.186E+02      0.689E+00
  12      1.320      0.158E+02      0.756E+00
  13      1.440      0.162E+02      0.928E+00
  14      1.560      0.229E+02      0.107E+01
  15      1.680      0.369E+02      0.151E+01
  16      1.800      0.634E+02      0.191E+01
  17      1.920      0.938E+02      0.230E+01
  18      2.040      0.125E+03      0.323E+01
  19      2.160      0.167E+03      0.410E+01
  20      2.280      0.211E+03      0.500E+01
  21      2.400      0.259E+03      0.607E+01
  22      2.520      0.331E+03      0.886E+01
  23      2.640      0.405E+03      0.112E+02
  24      2.760      0.495E+03      0.142E+02
  25      2.880      0.574E+03      0.203E+02
  26      3.000      0.679E+03      0.234E+02
  27      3.120      0.883E+03      0.338E+02
  28      3.240      0.115E+04      0.388E+02
  29      3.360      0.144E+04      0.492E+02
  30      3.480      0.169E+04      0.638E+02
  31      3.600      0.219E+04      0.823E+02
  32      3.720      0.263E+04      0.102E+03
  33      3.840      0.318E+04      0.131E+03
  34      3.960      0.409E+04      0.185E+03
  35      4.080      0.477E+04      0.232E+03
  36      4.200      0.618E+04      0.283E+03
  37      4.320      0.700E+04      0.332E+03
  38      4.440      0.913E+04      0.439E+03
  39      4.560      0.117E+05      0.590E+03
  40      4.680      0.152E+05      0.636E+03
  41      4.800      0.189E+05      0.121E+04
  42      4.920      0.235E+05      0.147E+04
  43      5.040      0.290E+05      0.213E+04
  44      5.160      0.364E+05      0.259E+04
  45      5.280      0.416E+05      0.412E+04
  46      5.400      0.445E+05      0.561E+04
  47      5.520      0.721E+05      0.886E+04
  48      5.640      0.767E+05      0.131E+05
  49      5.760      0.122E+06      0.184E+05
  50      5.880      0.188E+06      0.261E+05
  51      6.000      0.170E+06      0.420E+05
  52      6.120      0.256E+06      0.693E+05
  53      6.240      0.299E+06      0.892E+05
  54      6.360      0.203E+06      0.116E+06
  55      6.480      0.277E+06      0.182E+06
  56      6.600      0.366E+06      0.252E+06
  57      6.720      0.971E+06      0.581E+06
