rsf(3he,3he)Dy164
  No   Eg(MeV)      f(MeV**-3)    df(MeV**-3)
   1      0.000      0.000E+00      0.000E+00
   2      0.120      0.0000000      0.0000000
   3      0.240      0.0000000      0.0000000
   4      0.360      0.0000000      0.0000000
   5      0.480      0.0000000      0.0000000
   6      0.600      0.0000000      0.0000000
   7      0.720      0.0000000      0.0000000
   8      0.840      0.0000000      0.0000000
   9      0.960      0.101E-07      0.111E-08
  10      1.080      0.833E-08      0.882E-09
  11      1.200      0.597E-08      0.738E-09
  12      1.320      0.740E-08      0.688E-09
  13      1.440      0.853E-08      0.655E-09
  14      1.560      0.714E-08      0.622E-09
  15      1.680      0.878E-08      0.627E-09
  16      1.800      0.133E-07      0.570E-09
  17      1.920      0.166E-07      0.648E-09
  18      2.040      0.192E-07      0.596E-09
  19      2.160      0.182E-07      0.597E-09
  20      2.280      0.208E-07      0.656E-09
  21      2.400      0.264E-07      0.654E-09
  22      2.520      0.314E-07      0.697E-09
  23      2.640      0.344E-07      0.765E-09
  24      2.760      0.370E-07      0.807E-09
  25      2.880      0.381E-07      0.740E-09
  26      3.000      0.362E-07      0.850E-09
  27      3.120      0.340E-07      0.822E-09
  28      3.240      0.342E-07      0.987E-09
  29      3.360      0.361E-07      0.103E-08
  30      3.480      0.358E-07      0.107E-08
  31      3.600      0.353E-07      0.109E-08
  32      3.720      0.365E-07      0.115E-08
  33      3.840      0.378E-07      0.127E-08
  34      3.960      0.376E-07      0.134E-08
  35      4.080      0.441E-07      0.133E-08
  36      4.200      0.463E-07      0.137E-08
  37      4.320      0.519E-07      0.176E-08
  38      4.440      0.569E-07      0.232E-08
  39      4.560      0.601E-07      0.259E-08
  40      4.680      0.601E-07      0.271E-08
  41      4.800      0.671E-07      0.302E-08
  42      4.920      0.669E-07      0.356E-08
  43      5.040      0.677E-07      0.427E-08
  44      5.160      0.673E-07      0.462E-08
  45      5.280      0.801E-07      0.567E-08
  46      5.400      0.978E-07      0.678E-08
  47      5.520      0.113E-06      0.889E-08
  48      5.640      0.111E-06      0.803E-08
  49      5.760      0.149E-06      0.108E-07
  50      5.880      0.179E-06      0.133E-07
  51      6.000      0.191E-06      0.180E-07
  52      6.120      0.200E-06      0.175E-07
  53      6.240      0.211E-06      0.198E-07
  54      6.360      0.272E-06      0.233E-07
  55      6.480      0.300E-06      0.238E-07
  56      6.600      0.248E-06      0.271E-07
  57      6.720      0.291E-06      0.312E-07
  58      6.840      0.367E-06      0.327E-07
  59      6.960      0.181E-06      0.349E-07
  60      7.080      0.185E-06      0.457E-07
  61      7.200      0.321E-06      0.745E-07
  62      7.320      0.319E-06      0.845E-07
  63      7.440      0.478E-06      0.918E-07
  64      7.560      0.299E-06      0.156E-06
  65      7.680      0.402E-06      0.315E-06
