gsf (p,p')56Fe, OCL, FG05 norm., NaI detectors
No 	 Eg(MeV) 	 f(MeV^-3) 	 df(MeV^-3)
0	-0.748000	0.000000E+00	0.000000E+00
1	-0.624000	0.000000E+00	0.000000E+00
2	-0.500000	0.000000E+00	0.000000E+00
3	-0.376000	0.000000E+00	0.000000E+00
4	-0.252000	0.000000E+00	0.000000E+00
5	-0.128000	0.000000E+00	0.000000E+00
6	-0.004000	0.000000E+00	0.000000E+00
7	0.120000	0.000000E+00	0.000000E+00
8	0.244000	0.000000E+00	0.000000E+00
9	0.368000	0.000000E+00	0.000000E+00
10	0.492000	0.000000E+00	0.000000E+00
11	0.616000	0.000000E+00	0.000000E+00
12	0.740000	0.000000E+00	0.000000E+00
13	0.864000	0.000000E+00	0.000000E+00
14	0.988000	0.000000E+00	0.000000E+00
15	1.112000	0.000000E+00	0.000000E+00
16	1.236000	0.000000E+00	0.000000E+00
17	1.360000	0.000000E+00	0.000000E+00
18	1.484000	0.000000E+00	0.000000E+00
19	1.608000	0.000000E+00	0.000000E+00
20	1.732000	0.000000E+00	0.000000E+00
21	1.856000	0.000000E+00	0.000000E+00
22	1.980000	0.000000E+00	0.000000E+00
23	2.104000	2.990086E-08	6.321169E-10
24	2.228000	2.502089E-08	6.142719E-10
25	2.352000	1.932957E-08	4.551795E-10
26	2.476000	1.291622E-08	4.304828E-10
27	2.600000	2.161895E-08	4.774519E-10
28	2.724000	1.755330E-08	4.251495E-10
29	2.848000	1.548288E-08	3.917414E-10
30	2.972000	1.365058E-08	3.486001E-10
31	3.096000	1.714072E-08	3.934881E-10
32	3.220000	1.699640E-08	3.809005E-10
33	3.344000	1.480464E-08	3.749154E-10
34	3.468000	1.468998E-08	3.634186E-10
35	3.592000	9.002353E-09	3.076772E-10
36	3.716000	1.002695E-08	3.070430E-10
37	3.840000	1.035414E-08	2.771068E-10
38	3.964000	9.625987E-09	2.546698E-10
39	4.088000	1.153519E-08	3.202537E-10
40	4.212000	1.253624E-08	2.984237E-10
41	4.336000	1.206562E-08	3.195733E-10
42	4.460000	1.107643E-08	3.327770E-10
43	4.584000	1.225584E-08	3.164988E-10
44	4.708000	1.213988E-08	3.315766E-10
45	4.832000	1.183291E-08	3.242261E-10
46	4.956000	1.267857E-08	3.671612E-10
47	5.080000	1.232773E-08	3.383002E-10
48	5.204000	7.768097E-09	2.768681E-10
49	5.328000	5.425518E-09	2.861674E-10
50	5.452000	7.990540E-09	3.239408E-10
51	5.576000	8.385164E-09	2.701247E-10
52	5.700000	1.033669E-08	2.723890E-10
53	5.824000	1.304140E-08	3.770411E-10
54	5.948000	1.504608E-08	4.494153E-10
55	6.072000	1.543350E-08	4.415907E-10
56	6.196000	1.293208E-08	4.571313E-10
57	6.320000	1.486345E-08	4.467103E-10
58	6.444000	1.790192E-08	4.853340E-10
59	6.568000	1.833613E-08	5.360296E-10
60	6.692000	1.894734E-08	5.334751E-10
61	6.816000	2.017795E-08	5.624485E-10
62	6.940000	2.210906E-08	6.923258E-10
63	7.064000	2.261994E-08	7.022963E-10
64	7.188000	2.203921E-08	7.514897E-10
65	7.312000	2.285984E-08	7.708733E-10
66	7.436000	2.466000E-08	7.559812E-10
67	7.560000	2.556204E-08	7.721540E-10
68	7.684000	2.790205E-08	9.214164E-10
69	7.808000	2.824265E-08	8.579992E-10
70	7.932000	3.083926E-08	1.017692E-09
71	8.056000	3.241445E-08	1.151653E-09
72	8.180000	3.545375E-08	1.178992E-09
73	8.304000	3.770394E-08	1.301537E-09
74	8.428000	3.834620E-08	1.340098E-09
75	8.552000	3.589139E-08	1.302240E-09
76	8.676000	3.792453E-08	1.281105E-09
77	8.800000	4.313446E-08	1.578311E-09
78	8.924000	4.238357E-08	1.645323E-09
79	9.048000	4.174532E-08	1.518119E-09
80	9.172000	4.638827E-08	1.819699E-09
81	9.296000	5.224107E-08	1.841185E-09
82	9.420000	5.172090E-08	1.716922E-09
83	9.544000	5.063162E-08	2.078257E-09
84	9.668000	5.113689E-08	2.225878E-09
85	9.792000	4.451254E-08	2.057139E-09
86	9.916000	4.246730E-08	2.074751E-09
87	10.040000	4.057324E-08	1.862786E-09
88	10.164000	3.843216E-08	2.150604E-09
89	10.288000	3.770633E-08	2.133731E-09
90	10.412000	3.066145E-08	1.945836E-09
91	10.536000	3.385155E-08	2.581006E-09
92	10.660000	4.474191E-08	3.307128E-09
93	10.784000	3.877637E-08	3.381540E-09
94	10.908000	3.897598E-08	4.005294E-09
95	11.032000	2.944227E-08	3.433108E-09
96	11.156000	2.398373E-08	5.303311E-09
