gsf (p,p')56Fe, OCL, FG09 norm., LaBr3 detectors
No 	 Eg(MeV) 	 f(MeV^-3) 	 df(MeV^-3)
0	-0.856500	0.000000E+00	0.000000E+00
1	-0.732500	0.000000E+00	0.000000E+00
2	-0.608500	0.000000E+00	0.000000E+00
3	-0.484500	0.000000E+00	0.000000E+00
4	-0.360500	0.000000E+00	0.000000E+00
5	-0.236500	0.000000E+00	0.000000E+00
6	-0.112500	0.000000E+00	0.000000E+00
7	0.011500	0.000000E+00	0.000000E+00
8	0.135500	0.000000E+00	0.000000E+00
9	0.259500	0.000000E+00	0.000000E+00
10	0.383500	0.000000E+00	0.000000E+00
11	0.507500	0.000000E+00	0.000000E+00
12	0.631500	0.000000E+00	0.000000E+00
13	0.755500	0.000000E+00	0.000000E+00
14	0.879500	0.000000E+00	0.000000E+00
15	1.003500	0.000000E+00	0.000000E+00
16	1.127500	0.000000E+00	0.000000E+00
17	1.251500	0.000000E+00	0.000000E+00
18	1.375500	0.000000E+00	0.000000E+00
19	1.499500	0.000000E+00	0.000000E+00
20	1.623500	0.000000E+00	0.000000E+00
21	1.747500	0.000000E+00	0.000000E+00
22	1.871500	0.000000E+00	0.000000E+00
23	1.995500	0.000000E+00	0.000000E+00
24	2.119500	2.910234E-08	1.344984E-09
25	2.243500	2.290833E-08	1.255935E-09
26	2.367500	1.893595E-08	1.124681E-09
27	2.491500	1.126833E-08	8.272413E-10
28	2.615500	2.244898E-08	9.845952E-10
29	2.739500	1.801799E-08	9.124408E-10
30	2.863500	1.496873E-08	7.458394E-10
31	2.987500	1.399581E-08	6.709906E-10
32	3.111500	1.285854E-08	6.330944E-10
33	3.235500	1.750582E-08	6.753366E-10
34	3.359500	1.277434E-08	6.481384E-10
35	3.483500	1.524242E-08	7.050737E-10
36	3.607500	1.226648E-08	6.104241E-10
37	3.731500	8.691193E-09	5.142169E-10
38	3.855500	1.168479E-08	4.961717E-10
39	3.979500	8.795609E-09	5.114469E-10
40	4.103500	9.851340E-09	4.653369E-10
41	4.227500	1.048079E-08	5.700186E-10
42	4.351500	1.129775E-08	5.168243E-10
43	4.475500	9.525418E-09	4.172372E-10
44	4.599500	9.849644E-09	4.748928E-10
45	4.723500	1.013623E-08	4.424283E-10
46	4.847500	9.484658E-09	5.280437E-10
47	4.971500	9.949892E-09	4.934799E-10
48	5.095500	1.108038E-08	5.430438E-10
49	5.219500	9.125479E-09	5.529981E-10
50	5.343500	6.173969E-09	4.140743E-10
51	5.467500	7.198034E-09	5.051894E-10
52	5.591500	6.522335E-09	3.881833E-10
53	5.715500	7.338802E-09	3.323120E-10
54	5.839500	9.340700E-09	4.201178E-10
55	5.963500	1.456703E-08	6.625953E-10
56	6.087500	1.253384E-08	6.171113E-10
57	6.211500	1.477479E-08	7.107777E-10
58	6.335500	1.418231E-08	6.857426E-10
59	6.459500	1.437944E-08	6.986973E-10
60	6.583500	1.449622E-08	7.010093E-10
61	6.707500	1.337033E-08	5.938498E-10
62	6.831500	1.598226E-08	7.670541E-10
63	6.955500	2.106110E-08	9.827078E-10
64	7.079500	2.142983E-08	9.877893E-10
65	7.203500	2.208132E-08	1.108854E-09
66	7.327500	1.985999E-08	1.015092E-09
67	7.451500	1.910412E-08	9.712137E-10
68	7.575500	1.928204E-08	1.025800E-09
69	7.699500	2.016716E-08	1.196239E-09
70	7.823500	2.262163E-08	1.212411E-09
71	7.947500	2.413379E-08	1.509853E-09
72	8.071500	2.500710E-08	1.378471E-09
73	8.195500	2.948135E-08	1.976805E-09
74	8.319500	3.293253E-08	1.864502E-09
75	8.443500	3.053799E-08	1.779459E-09
76	8.567500	3.536203E-08	2.085748E-09
77	8.691500	2.989254E-08	1.756153E-09
78	8.815500	2.691830E-08	1.654627E-09
79	8.939500	3.029832E-08	1.763674E-09
80	9.063500	2.642618E-08	1.587521E-09
81	9.187500	2.603797E-08	1.809291E-09
82	9.311500	3.410699E-08	2.195067E-09
83	9.435500	3.909706E-08	2.545106E-09
84	9.559500	4.420867E-08	2.754584E-09
85	9.683500	3.955463E-08	2.459201E-09
86	9.807500	4.814405E-08	2.892858E-09
87	9.931500	4.126458E-08	2.669289E-09
88	10.055500	3.779368E-08	2.405309E-09
89	10.179500	3.303917E-08	2.174074E-09
90	10.303500	2.776509E-08	2.463258E-09
91	10.427500	2.375616E-08	2.465073E-09
92	10.551500	2.501321E-08	3.430294E-09
93	10.675500	3.289610E-08	4.863502E-09
94	10.799500	3.413483E-08	4.516315E-09
95	10.923500	2.479565E-08	4.989443E-09
96	11.047500	1.780502E-08	4.472994E-09
97	11.171500	1.835224E-08	4.550052E-09
