nld (p,p')56Fe, OCL, FG05 norm., NaI detectors
No 	 Ex(MeV) 	 Rho(1/MeV) 	 dRho(1/MeV
0	-0.748000	0.000000E+00	0.000000E+00
1	-0.624000	0.000000E+00	0.000000E+00
2	-0.500000	0.000000E+00	0.000000E+00
3	-0.376000	2.274118E-02	0.000000E+00
4	-0.252000	6.025135E-02	4.607476E-03
5	-0.128000	2.943370E-01	8.009689E-03
6	-0.004000	6.165847E-01	1.351609E-02
7	0.120000	6.551823E-01	1.329457E-02
8	0.244000	4.376996E-01	1.083251E-02
9	0.368000	3.394944E-01	1.095866E-02
10	0.492000	3.740027E-01	1.457835E-02
11	0.616000	6.932052E-01	2.166564E-02
12	0.740000	1.724741E+00	3.495483E-02
13	0.864000	3.330641E+00	6.721459E-02
14	0.988000	2.825519E+00	5.790765E-02
15	1.112000	1.499035E+00	4.527705E-02
16	1.236000	1.329232E+00	3.811628E-02
17	1.360000	1.173282E+00	2.761680E-02
18	1.484000	5.525913E-01	1.628833E-02
19	1.608000	2.022915E-01	2.176227E-02
20	1.732000	1.500257E-01	8.047754E-03
21	1.856000	1.676343E-01	3.812985E-02
22	1.980000	1.198728E+00	5.467707E-02
23	2.104000	4.235553E+00	9.493817E-02
24	2.228000	4.565655E+00	1.203715E-01
25	2.352000	2.540034E+00	7.456999E-02
26	2.476000	2.616583E+00	7.805464E-02
27	2.600000	4.613975E+00	1.114803E-01
28	2.724000	5.862708E+00	1.636194E-01
29	2.848000	5.121687E+00	1.483403E-01
30	2.972000	7.433793E+00	1.898066E-01
31	3.096000	1.111566E+01	3.036554E-01
32	3.220000	1.272283E+01	3.309016E-01
33	3.344000	1.746679E+01	4.848877E-01
34	3.468000	2.437826E+01	5.757542E-01
35	3.592000	2.213909E+01	6.131952E-01
36	3.716000	1.814510E+01	4.666856E-01
37	3.840000	1.883579E+01	5.185051E-01
38	3.964000	1.899551E+01	5.698392E-01
39	4.088000	2.071960E+01	6.149693E-01
40	4.212000	1.920084E+01	5.660422E-01
41	4.336000	1.971262E+01	5.572245E-01
42	4.460000	3.082704E+01	8.555251E-01
43	4.584000	4.183139E+01	1.286095E+00
44	4.708000	4.724675E+01	1.332257E+00
45	4.832000	3.803563E+01	1.050750E+00
46	4.956000	3.186574E+01	1.121237E+00
47	5.080000	3.790306E+01	1.246573E+00
48	5.204000	5.140184E+01	1.593858E+00
49	5.328000	4.747243E+01	1.672526E+00
50	5.452000	3.642608E+01	1.415684E+00
51	5.576000	4.918556E+01	2.034165E+00
52	5.700000	5.849172E+01	2.125485E+00
53	5.824000	5.800847E+01	2.025253E+00
54	5.948000	6.817479E+01	2.563319E+00
55	6.072000	7.202309E+01	2.832877E+00
56	6.196000	7.243091E+01	2.896004E+00
57	6.320000	7.239373E+01	3.297827E+00
58	6.444000	8.820739E+01	3.816963E+00
59	6.568000	8.763377E+01	3.965101E+00
60	6.692000	9.196152E+01	4.151491E+00
61	6.816000	1.069224E+02	5.202796E+00
62	6.940000	1.113848E+02	5.420730E+00
63	7.064000	1.227612E+02	6.252186E+00
64	7.188000	1.321406E+02	6.722848E+00
65	7.312000	1.532472E+02	7.601666E+00
66	7.436000	1.790134E+02	8.501888E+00
67	7.560000	1.935906E+02	9.968639E+00
68	7.684000	1.897552E+02	1.221321E+01
69	7.808000	2.175160E+02	1.107205E+01
70	7.932000	2.477526E+02	1.559908E+01
71	8.056000	2.588059E+02	1.453818E+01
72	8.180000	2.813656E+02	1.930119E+01
73	8.304000	3.177573E+02	2.459112E+01
74	8.428000	3.685906E+02	2.521882E+01
75	8.552000	4.125000E+02	3.049683E+01
76	8.676000	4.921831E+02	3.652109E+01
77	8.800000	4.657450E+02	5.230088E+01
78	8.924000	5.642623E+02	5.438508E+01
79	9.048000	5.206726E+02	6.397409E+01
80	9.172000	6.333770E+02	1.195913E+02
