nld (p,p')56Fe, OCL, FG09 norm., LaBr3 detectors
No 	 Ex(MeV) 	 Rho(1/MeV) 	 dRho(1/MeV
0	-0.856500	0.000000E+00	0.000000E+00
1	-0.732500	0.000000E+00	0.000000E+00
2	-0.608500	0.000000E+00	0.000000E+00
3	-0.484500	0.000000E+00	0.000000E+00
4	-0.360500	3.831201E-02	4.111399E-04
5	-0.236500	2.426757E-01	1.185751E-02
6	-0.112500	8.738377E-01	2.639346E-02
7	0.011500	1.189827E+00	3.052922E-02
8	0.135500	6.748895E-01	2.132622E-02
9	0.259500	4.454891E-01	1.659572E-02
10	0.383500	3.051240E-01	1.678040E-02
11	0.507500	2.786647E-01	2.329838E-02
12	0.631500	1.222795E+00	4.680746E-02
13	0.755500	3.999022E+00	9.076154E-02
14	0.879500	4.464803E+00	1.062153E-01
15	1.003500	2.366942E+00	6.650525E-02
16	1.127500	1.440972E+00	6.362046E-02
17	1.251500	9.045087E-01	4.687355E-02
18	1.375500	3.527003E-01	3.093381E-02
19	1.499500	1.719346E-01	0.000000E+00
20	1.623500	1.900342E-01	0.000000E+00
21	1.747500	2.100392E-01	8.587911E-03
22	1.871500	2.628211E-01	1.278263E-01
23	1.995500	3.172537E+00	1.324064E-01
24	2.119500	6.929748E+00	2.604544E-01
25	2.243500	5.106849E+00	1.859814E-01
26	2.367500	3.631861E+00	1.909176E-01
27	2.491500	4.615056E+00	1.815118E-01
28	2.615500	5.948004E+00	2.437090E-01
29	2.739500	4.991784E+00	2.116069E-01
30	2.863500	4.564840E+00	2.458245E-01
31	2.987500	7.360764E+00	3.502004E-01
32	3.111500	1.011526E+01	4.252074E-01
33	3.235500	1.154529E+01	5.301607E-01
34	3.359500	2.031605E+01	7.978463E-01
35	3.483500	2.369290E+01	9.449498E-01
36	3.607500	1.933208E+01	9.268521E-01
37	3.731500	1.867685E+01	8.141857E-01
38	3.855500	1.716592E+01	8.394105E-01
39	3.979500	1.669565E+01	8.804015E-01
40	4.103500	1.846093E+01	9.166545E-01
41	4.227500	1.430800E+01	9.030189E-01
42	4.351500	1.854848E+01	1.085808E+00
43	4.475500	3.237962E+01	1.691090E+00
44	4.599500	4.134428E+01	1.954239E+00
45	4.723500	3.890686E+01	2.202548E+00
46	4.847500	3.036712E+01	1.890788E+00
47	4.971500	3.021812E+01	1.966461E+00
48	5.095500	3.693983E+01	2.429990E+00
49	5.219500	4.705566E+01	2.663199E+00
50	5.343500	3.220202E+01	2.484732E+00
51	5.467500	3.550161E+01	2.893430E+00
52	5.591500	4.546225E+01	2.899069E+00
53	5.715500	4.742400E+01	3.724428E+00
54	5.839500	5.135351E+01	3.853459E+00
55	5.963500	6.069576E+01	4.210218E+00
56	6.087500	6.053871E+01	4.925774E+00
57	6.211500	5.500732E+01	5.367463E+00
58	6.335500	6.307834E+01	5.851930E+00
59	6.459500	7.131315E+01	6.267560E+00
60	6.583500	6.541119E+01	6.034141E+00
61	6.707500	8.115381E+01	7.104794E+00
62	6.831500	8.866828E+01	8.415573E+00
63	6.955500	8.768517E+01	1.001766E+01
64	7.079500	9.960871E+01	1.056845E+01
65	7.203500	1.152009E+02	1.119856E+01
66	7.327500	1.297543E+02	1.283890E+01
67	7.451500	1.677593E+02	1.636244E+01
68	7.575500	1.672615E+02	1.723021E+01
69	7.699500	1.771045E+02	2.051024E+01
70	7.823500	1.781737E+02	2.032167E+01
71	7.947500	1.882981E+02	2.580615E+01
72	8.071500	2.059239E+02	2.589877E+01
73	8.195500	2.542075E+02	3.523972E+01
74	8.319500	2.952983E+02	3.855789E+01
75	8.443500	3.415370E+02	4.130763E+01
76	8.567500	4.107981E+02	5.829498E+01
77	8.691500	4.423978E+02	7.148050E+01
78	8.815500	4.022054E+02	7.024133E+01
79	8.939500	4.223780E+02	8.646390E+01
80	9.063500	5.205278E+02	1.129427E+02
81	9.187500	4.477041E+02	1.912744E+02
