#Energy 	 GSF
0.1	1.2099e-09
0.2	1.3098e-09
0.3	1.4097e-09
0.4	1.5096e-09
0.5	1.6095e-09
0.6	1.7094e-09
0.7	1.8093e-09
0.8	1.9092e-09
0.9	2.0091e-09
1	2.109e-09
1.1	2.2089e-09
1.2	2.3088e-09
1.3	2.4087e-09
1.4	2.5086e-09
1.5	2.6085e-09
1.6	2.7084e-09
1.7	2.8083e-09
1.8	2.9082e-09
1.9	3.0081e-09
2	3.108e-09
2.1	3.2079e-09
2.2	3.3078e-09
2.3	3.4077e-09
2.4	3.5076e-09
2.5	3.6075e-09
2.6	3.7074e-09
2.7	3.8073e-09
2.8	3.9072e-09
2.9	4.0071e-09
3	4.107e-09
3.1	4.2069e-09
3.2	4.3068e-09
3.3	4.4067e-09
3.4	4.5066e-09
3.5	4.6065e-09
3.6	4.7064e-09
3.7	4.8063e-09
3.8	4.9062e-09
3.9	5.0061e-09
4	5.106e-09
4.1	5.2059e-09
4.2	5.3058e-09
4.3	5.4057e-09
4.4	5.5056e-09
4.5	5.6055e-09
4.6	5.7054e-09
4.7	5.8053e-09
4.8	5.9052e-09
4.9	6.0051e-09
5	6.105e-09
5.1	6.2049e-09
5.2	6.3048e-09
5.3	6.4047e-09
5.4	6.5046e-09
5.5	6.6045e-09
5.6	6.7044e-09
5.7	6.8043e-09
5.8	6.9042e-09
5.9	7.0041e-09
6	7.104e-09
6.1	7.2039e-09
6.2	7.3038e-09
6.3	7.4037e-09
6.4	7.5036e-09
6.5	7.6035e-09
6.6	7.7034e-09
6.7	7.8033e-09
6.8	7.9032e-09
6.9	8.0031e-09
7	8.103e-09
7.1	8.2029e-09
7.2	8.3028e-09
7.3	8.4027e-09
7.4	8.5026e-09
7.5	8.6025e-09
7.6	8.7024e-09
7.7	8.8023e-09
7.8	8.9022e-09
7.9	9.0021e-09
8	9.102e-09
8.1	9.2019e-09
8.2	9.3018e-09
8.3	9.4017e-09
8.4	9.5016e-09
8.5	9.6015e-09
8.6	9.7014e-09
8.7	9.8013e-09
8.8	9.9012e-09
8.9	1.00011e-08
9	1.0101e-08
9.1	1.02009e-08
9.2	1.03008e-08
9.3	1.04007e-08
9.4	1.05006e-08
9.5	1.06005e-08
9.6	1.07004e-08
9.7	1.08003e-08
9.8	1.09002e-08
9.9	1.10001e-08
10	1.11e-08
10.1	1.2099e-08
10.2	1.3098e-08
10.3	1.4097e-08
10.4	1.5096e-08
10.5	1.6095e-08
10.6	1.7094e-08
10.7	1.8093e-08
10.8	1.9092e-08
10.9	2.0091e-08
11	2.109e-08
11.1	2.2089e-08
11.2	2.3088e-08
11.3	2.4087e-08
11.4	2.5086e-08
11.5	2.6085e-08
11.6	2.7084e-08
11.7	2.8083e-08
11.8	2.9082e-08
11.9	3.0081e-08
12	3.108e-08
12.1	3.2079e-08
12.2	3.3078e-08
12.3	3.4077e-08
12.4	3.5076e-08
12.5	3.6075e-08
12.6	3.7074e-08
12.7	3.8073e-08
12.8	3.9072e-08
12.9	4.0071e-08
13	4.107e-08
13.1	4.2069e-08
13.2	4.3068e-08
13.3	4.4067e-08
13.4	4.5066e-08
13.5	4.6065e-08
13.6	4.7064e-08
13.7	4.8063e-08
13.8	4.9062e-08
13.9	5.0061e-08
14	5.106e-08
14.1	5.2059e-08
14.2	5.3058e-08
14.3	5.4057e-08
14.4	5.5056e-08
14.5	5.6055e-08
14.6	5.7054e-08
14.7	5.8053e-08
14.8	5.9052e-08
14.9	6.0051e-08
