#Energy 	 GSF
0	-nan
0.1	3.16613e-07
0.2	2.47634e-07
0.3	1.93904e-07
0.4	1.5205e-07
0.5	1.19444e-07
0.6	9.40413e-08
0.7	7.4249e-08
0.8	5.88267e-08
0.9	4.68085e-08
1	3.74418e-08
1.1	3.0141e-08
1.2	2.44496e-08
1.3	2.00123e-08
1.4	1.65524e-08
1.5	1.38543e-08
1.6	1.17501e-08
1.7	1.01092e-08
1.8	8.82975e-09
1.9	7.83248e-09
2	7.05565e-09
2.1	6.4512e-09
2.2	5.9817e-09
2.3	5.61801e-09
2.4	5.33745e-09
2.5	5.12235e-09
2.6	4.95899e-09
2.7	4.83667e-09
2.8	4.74708e-09
2.9	4.68376e-09
3	4.6417e-09
3.1	4.61699e-09
3.2	4.60664e-09
3.3	4.60829e-09
3.4	4.62017e-09
3.5	4.64089e-09
3.6	4.66939e-09
3.7	4.70487e-09
3.8	4.74674e-09
3.9	4.79454e-09
4	4.84797e-09
4.1	4.9068e-09
4.2	4.97088e-09
4.3	5.04014e-09
4.4	5.11454e-09
4.5	5.19409e-09
4.6	5.27883e-09
4.7	5.36884e-09
4.8	5.4642e-09
4.9	5.56505e-09
5	5.6715e-09
5.1	5.78373e-09
5.2	5.90189e-09
5.3	6.02618e-09
5.4	6.15679e-09
5.5	6.29394e-09
5.6	6.43786e-09
5.7	6.58881e-09
5.8	6.74705e-09
5.9	6.91286e-09
6	7.08654e-09
6.1	7.26842e-09
6.2	7.45883e-09
6.3	7.65813e-09
6.4	7.86672e-09
6.5	8.15905e-09
6.6	8.49254e-09
6.7	8.83847e-09
6.8	9.19739e-09
6.9	9.56991e-09
7	9.95665e-09
7.1	1.03583e-08
7.2	1.07755e-08
7.3	1.12091e-08
7.4	1.16598e-08
7.5	1.21285e-08
7.6	1.26159e-08
7.7	1.3123e-08
7.8	1.36507e-08
7.9	1.41999e-08
8	1.47717e-08
8.1	1.53669e-08
8.2	1.59866e-08
8.3	1.66317e-08
8.4	1.73032e-08
8.5	1.80019e-08
8.6	1.87285e-08
8.7	1.94839e-08
8.8	2.02684e-08
8.9	2.10823e-08
9	2.19257e-08
9.1	2.27981e-08
9.2	2.3699e-08
9.3	2.46272e-08
9.4	2.55811e-08
9.5	2.65585e-08
9.6	2.7557e-08
9.7	2.85733e-08
9.8	2.9604e-08
9.9	3.06453e-08
10	3.16935e-08
10.1	3.27448e-08
10.2	3.37959e-08
10.3	3.48443e-08
10.4	3.58883e-08
10.5	3.69276e-08
10.6	3.79631e-08
10.7	3.89973e-08
10.8	4.0034e-08
10.9	4.10786e-08
11	4.21375e-08
11.1	4.32181e-08
11.2	4.43284e-08
11.3	4.54769e-08
11.4	4.66723e-08
11.5	4.79231e-08
11.6	4.92379e-08
11.7	5.0625e-08
11.8	5.20925e-08
11.9	5.36481e-08
12	5.52997e-08
12.1	5.70546e-08
12.2	5.89206e-08
12.3	6.09052e-08
12.4	6.30162e-08
12.5	6.5262e-08
12.6	6.7651e-08
12.7	7.01924e-08
12.8	7.2896e-08
12.9	7.57723e-08
13	7.88328e-08
13.1	8.209e-08
13.2	8.55577e-08
13.3	8.92507e-08
13.4	9.31855e-08
13.5	9.73804e-08
13.6	1.01855e-07
13.7	1.06633e-07
13.8	1.11737e-07
13.9	1.17195e-07
14	1.23038e-07
14.1	1.29299e-07
14.2	1.36015e-07
14.3	1.4323e-07
14.4	1.5099e-07
14.5	1.59349e-07
14.6	1.68366e-07
14.7	1.78109e-07
14.8	1.88654e-07
14.9	2.00089e-07
