# #E, E1, M1
0.000000000000000000e+00 2.108943224250224378e-08 0.000000000000000000e+00
4.000000000000000083e-02 2.118063291166153601e-08 4.238194946607177216e-10
8.000000000000000167e-02 2.127208857276548393e-08 8.482354560593823885e-10
1.199999999999999956e-01 2.136405431023184470e-08 1.273847283028267052e-09
1.600000000000000033e-01 2.145678539347712095e-08 1.701260276443377086e-09
2.000000000000000111e-01 2.155053736954715747e-08 2.131088685776586694e-09
2.399999999999999911e-01 2.164556615590533892e-08 2.563958872814095365e-09
2.800000000000000266e-01 2.174212813343113299e-08 3.000512635906947567e-09
3.200000000000000067e-01 2.184048023968176963e-08 3.441410742005791387e-09
3.599999999999999867e-01 2.194088006247013821e-08 3.887336718840092405e-09
4.000000000000000222e-01 2.204358593381217295e-08 4.339000966115071794e-09
4.400000000000000022e-01 2.214885702429726525e-08 4.797145252755577530e-09
4.799999999999999822e-01 2.225695343793548930e-08 5.262547677328493440e-09
5.200000000000000178e-01 2.236813630753590088e-08 5.736028181208410218e-09
5.600000000000000533e-01 2.248266789067038396e-08 6.218454719298778834e-09
5.999999999999999778e-01 2.260081166627801650e-08 6.710750211789968509e-09
6.400000000000000133e-01 2.272283243196548212e-08 7.213900423288451859e-09
6.800000000000000488e-01 2.284899640205926994e-08 7.728962943643786869e-09
7.199999999999999734e-01 2.297957130646627794e-08 8.257077479132080050e-09
7.600000000000000089e-01 2.311482649039975320e-08 8.799477704833922718e-09
8.000000000000000444e-01 2.325503301502824323e-08 9.357504980967025270e-09
8.399999999999999689e-01 2.340046375910582506e-08 9.932624299984263405e-09
8.800000000000000044e-01 2.355139352164264302e-08 1.052644291042701197e-08
9.200000000000000400e-01 2.370809912567545437e-08 1.114073216160610181e-08
9.599999999999999645e-01 2.387085952319869290e-08 1.177745323490599851e-08
1.000000000000000000e+00 2.403995590131736093e-08 1.243878757880227575e-08
1.040000000000000036e+00 2.421567178968400677e-08 1.312717305293195699e-08
1.080000000000000071e+00 2.439829316928278228e-08 1.384534702087825439e-08
1.120000000000000107e+00 2.458810858262474012e-08 1.459639792283862538e-08
1.159999999999999920e+00 2.478540924541928769e-08 1.538382722131200920e-08
1.199999999999999956e+00 2.499048915978803847e-08 1.621162406070822687e-08
1.239999999999999991e+00 2.520364522908804906e-08 1.708435553210327180e-08
1.280000000000000027e+00 2.542517737441291277e-08 1.800727610362054378e-08
1.320000000000000062e+00 2.565538865284105380e-08 1.898646057716275096e-08
1.360000000000000098e+00 2.589458537750193948e-08 2.002896586316436446e-08
1.400000000000000133e+00 2.614307723953233396e-08 2.114302789859182767e-08
