#Energy 	 GSF
0	-nan
0.1	1.38323e-08
0.2	1.46689e-08
0.3	1.55245e-08
0.4	1.64072e-08
0.5	1.73297e-08
0.6	1.83001e-08
0.7	1.93353e-08
0.8	2.04445e-08
0.9	2.16519e-08
1	2.29701e-08
1.1	2.44367e-08
1.2	2.60743e-08
1.3	2.79493e-08
1.4	3.01141e-08
1.5	3.27167e-08
1.6	3.59212e-08
1.7	4.02056e-08
1.8	4.6334e-08
1.9	5.65384e-08
2	7.21465e-08
2.1	7.98337e-08
2.2	7.48004e-08
2.3	7.38391e-08
2.4	7.69234e-08
2.5	8.08027e-08
2.6	8.3314e-08
2.7	8.39296e-08
2.8	8.37187e-08
2.9	8.38241e-08
3	8.48437e-08
3.1	8.70058e-08
3.2	9.01354e-08
3.3	9.41314e-08
3.4	9.87429e-08
3.5	1.03819e-07
3.6	1.09137e-07
3.7	1.14507e-07
3.8	1.19739e-07
3.9	1.24635e-07
4	1.29085e-07
4.1	1.32952e-07
4.2	1.36256e-07
4.3	1.3906e-07
4.4	1.41484e-07
4.5	1.43687e-07
4.6	1.45846e-07
4.7	1.48136e-07
4.8	1.50718e-07
4.9	1.53731e-07
5	1.57287e-07
5.1	1.61474e-07
5.2	1.66361e-07
5.3	1.72001e-07
5.4	1.78436e-07
5.5	1.85732e-07
5.6	1.93931e-07
5.7	2.03027e-07
5.8	2.13052e-07
5.9	2.24043e-07
6	2.36038e-07
6.1	2.49081e-07
6.2	2.63222e-07
6.3	2.78513e-07
6.4	2.95015e-07
6.5	3.12794e-07
6.6	3.31922e-07
6.7	3.52475e-07
6.8	3.74538e-07
6.9	3.98202e-07
7	4.23695e-07
7.1	4.51018e-07
7.2	4.80271e-07
7.3	5.11567e-07
7.4	5.45028e-07
7.5	5.80777e-07
7.6	6.1894e-07
7.7	6.59645e-07
7.8	7.03019e-07
7.9	7.49184e-07
8	7.98257e-07
8.1	8.50346e-07
8.2	9.05541e-07
8.3	9.63917e-07
8.4	1.02562e-06
8.5	1.09072e-06
8.6	1.15903e-06
8.7	1.23045e-06
8.8	1.30485e-06
8.9	1.38201e-06
9	1.46166e-06
9.1	1.54343e-06
9.2	1.62689e-06
9.3	1.71152e-06
9.4	1.79674e-06
9.5	1.8819e-06
9.6	1.96629e-06
9.7	2.04919e-06
9.8	2.12986e-06
9.9	2.20736e-06
10	2.28114e-06
10.1	2.3507e-06
10.2	2.41565e-06
10.3	2.47572e-06
10.4	2.53081e-06
10.5	2.58098e-06
10.6	2.62646e-06
10.7	2.66761e-06
10.8	2.70495e-06
10.9	2.73906e-06
11	2.77063e-06
11.1	2.80038e-06
11.2	2.82904e-06
11.3	2.85731e-06
11.4	2.88592e-06
11.5	2.91544e-06
11.6	2.9463e-06
11.7	2.97879e-06
11.8	3.01306e-06
11.9	3.04909e-06
12	3.0867e-06
12.1	3.12552e-06
12.2	3.16499e-06
12.3	3.20442e-06
12.4	3.24293e-06
12.5	3.27954e-06
12.6	3.31316e-06
12.7	3.34267e-06
12.8	3.36655e-06
12.9	3.38384e-06
13	3.39373e-06
13.1	3.39549e-06
13.2	3.38861e-06
13.3	3.3728e-06
13.4	3.34805e-06
13.5	3.31456e-06
13.6	3.27278e-06
13.7	3.22333e-06
13.8	3.16699e-06
13.9	3.10462e-06
14	3.03718e-06
14.1	2.96562e-06
14.2	2.89085e-06
14.3	2.81374e-06
14.4	2.73531e-06
14.5	2.65628e-06
14.6	2.57728e-06
14.7	2.49886e-06
14.8	2.42148e-06
14.9	2.34551e-06
