#Energy 	 NLD
1.04563	80.6462
1.06178	83.7704
1.07794	87.0157
1.0941	90.3867
1.11025	93.8883
1.12641	97.5256
1.14256	101.304
1.15872	105.228
1.17488	109.305
1.19103	113.54
1.20719	117.938
1.22335	122.507
1.2395	127.253
1.25566	132.183
1.27181	137.304
1.28797	142.623
1.30413	148.149
1.32028	153.888
1.33644	159.85
1.35259	166.043
1.36875	172.476
1.38491	179.158
1.40106	186.098
1.41722	193.308
1.43338	200.797
1.44953	208.576
1.46569	216.657
1.48184	225.051
1.498	233.77
1.51416	242.826
1.53031	252.234
1.54647	262.006
1.56262	272.156
1.57878	282.7
1.59494	293.653
1.61109	305.029
1.62725	316.847
1.6434	329.122
1.65956	341.873
1.67572	355.118
1.69187	368.876
1.70803	383.167
1.72419	398.011
1.74034	413.431
1.7565	429.449
1.77265	446.086
1.78881	463.369
1.80497	481.321
1.82112	499.968
1.83728	519.338
1.85343	539.458
1.86959	560.358
1.88575	582.068
1.9019	604.619
1.91806	628.043
1.93421	652.375
1.95037	677.649
1.96653	703.903
1.98268	731.174
1.99884	759.502
2.015	788.927
2.03115	819.492
2.04731	851.241
2.06346	884.22
2.07962	918.477
2.09578	954.061
2.11193	991.023
2.12809	1029.42
2.14424	1069.3
2.1604	1110.73
2.17656	1153.76
2.19271	1198.46
2.20887	1244.89
2.22503	1293.12
2.24118	1343.22
2.25734	1395.26
2.27349	1449.32
2.28965	1505.47
2.30581	1563.79
2.32196	1624.38
2.33812	1687.31
2.35427	1752.68
2.37043	1820.58
2.38659	1891.12
2.40274	1964.38
2.4189	2040.49
2.43505	2119.54
2.45121	2201.66
2.46737	2286.96
2.48352	2375.56
2.49968	2467.59
2.51584	2563.19
2.53199	2662.5
2.54815	2765.65
2.5643	2872.8
2.58046	2984.1
2.59662	3099.71
2.61277	3219.8
2.62893	3344.54
2.64508	3474.12
2.66124	3608.71
2.6774	3748.52
2.69355	3893.75
2.70971	4044.6
2.72587	4201.3
2.74202	4364.07
2.75818	4533.14
2.77433	4708.77
2.79049	4891.19
2.80665	5080.69
2.8228	5277.53
2.83896	5481.99
2.85511	5694.38
2.87127	5914.99
2.88743	6144.15
2.90358	6382.18
2.91974	6629.44
2.93589	6886.28
2.95205	7153.07
2.96821	7430.2
2.98436	7718.06
3.00052	8017.07
3.01668	8327.67
3.03283	8650.3
3.04899	8985.43
3.06514	9333.54
3.0813	9695.14
3.09746	10070.8
3.11361	10460.9
3.12977	10866.2
3.14592	11287.2
3.16208	11724.4
3.17824	12178.7
3.19439	12650.5
3.21055	13140.6
3.2267	13649.7
3.24286	14178.5
3.25902	14727.8
3.27517	15298.4
3.29133	15891.1
3.30749	16506.7
3.32364	17146.2
3.3398	17810.5
3.35595	18500.5
3.37211	19217.2
3.38827	19961.7
3.40442	20735.1
3.42058	21538.4
3.43673	22372.8
3.45289	23239.6
3.46905	24139.9
3.4852	25075.1
3.50136	26046.6
3.51752	27055.6
3.53367	28103.8
3.54983	29192.6
3.56598	30323.5
3.58214	31498.3
3.5983	32718.6
3.61445	33986.1
3.63061	35302.8
3.64676	36670.5
3.66292	38091.1
3.67908	39566.8
3.69523	41099.7
3.71139	42691.9
3.72754	44345.8
3.7437	46063.8
3.75986	47848.4
3.77601	49702.1
3.79217	51627.6
3.80833	53627.6
3.82448	55705.2
3.84064	57863.3
3.85679	60104.9
3.87295	62433.4
3.88911	64852.2
3.90526	67364.6
3.92142	69974.3
3.93757	72685.1
3.95373	75501
3.96989	78425.9
3.98604	81464.2
4.0022	84620.2
4.01836	87898.4
4.03451	91303.6
4.05067	94840.7
4.06682	98514.9
4.08298	102331
4.09914	106296
4.11529	110414
4.13145	114691
4.1476	119134
4.16376	123749
4.17992	128543
4.19607	133523
4.21223	138696
4.22838	144069
4.24454	149650
4.2607	155448
4.27685	161470
4.29301	167725
4.30917	174223
4.32532	180972
4.34148	187983
4.35763	195265
4.37379	202830
4.38995	210687
4.4061	218849
4.42226	227327
4.43841	236134
4.45457	245281
4.47073	254783
4.48688	264653
4.50304	274906
4.51919	285556
4.53535	296618
4.55151	308109
4.56766	320044
4.58382	332443
4.59998	345321
4.61613	358699
4.63229	372594
4.64844	387028
4.6646	402021
4.68076	417595
4.69691	433772
4.71307	450576
4.72922	468031
4.74538	486162
4.76154	504995
4.77769	524558
4.79385	544878
4.81001	565986
4.82616	587912
4.84232	610686
4.85847	634343
4.87463	658917
4.89079	684442
4.90694	710956
4.9231	738498
4.93925	767106
4.95541	796822
4.97157	827690
4.98772	859753
5.00388	893058
5.02003	927653
5.03619	963589
5.05235	1.00092e+06
5.0685	1.03969e+06
5.08466	1.07996e+06
5.10082	1.1218e+06
5.11697	1.16526e+06
5.13313	1.2104e+06
5.14928	1.25728e+06
5.16544	1.30599e+06
5.1816	1.35658e+06
5.19775	1.40913e+06
5.21391	1.46372e+06
5.23006	1.52042e+06
5.24622	1.57931e+06
5.26238	1.64049e+06
5.27853	1.70404e+06
5.29469	1.77005e+06
5.31085	1.83862e+06
5.327	1.90984e+06
5.34316	1.98382e+06
5.35931	2.06067e+06
5.37547	2.1405e+06
5.39163	2.22341e+06
5.40778	2.30954e+06
5.42394	2.39901e+06
5.44009	2.49194e+06
5.45625	2.58847e+06
5.47241	2.68874e+06
5.48856	2.79289e+06
5.50472	2.90108e+06
5.52087	3.01346e+06
5.53703	3.13019e+06
5.55319	3.25144e+06
5.56934	3.37739e+06
5.5855	3.50822e+06
5.60166	3.64412e+06
5.61781	3.78528e+06
5.63397	3.9319e+06
5.65012	4.08421e+06
5.66628	4.24242e+06
5.68244	4.40676e+06
5.69859	4.57746e+06
5.71475	4.75477e+06
5.7309	4.93895e+06
5.74706	5.13027e+06
5.76322	5.329e+06
5.77937	5.53542e+06
5.79553	5.74984e+06
5.81168	5.97257e+06
5.82784	6.20392e+06
5.844	6.44424e+06
5.86015	6.69386e+06
5.87631	6.95315e+06
5.89247	7.22249e+06
5.90862	7.50226e+06
5.92478	7.79287e+06
5.94093	8.09473e+06
5.95709	8.40828e+06
5.97325	8.73398e+06
5.9894	9.0723e+06
6.00556	9.42372e+06
6.02171	9.78875e+06
6.03787	1.01679e+07
6.05403	1.05618e+07
6.07018	1.09709e+07
6.08634	1.13959e+07
6.1025	1.18373e+07
6.11865	1.22958e+07
6.13481	1.27721e+07
6.15096	1.32668e+07
6.16712	1.37807e+07
6.18328	1.43145e+07
6.19943	1.4869e+07
6.21559	1.54449e+07
6.23174	1.60432e+07
6.2479	1.66646e+07
6.26406	1.73101e+07
6.28021	1.79806e+07
6.29637	1.86771e+07
6.31252	1.94006e+07
6.32868	2.0152e+07
6.34484	2.09326e+07
6.36099	2.17434e+07
6.37715	2.25857e+07
6.39331	2.34605e+07
6.40946	2.43692e+07
6.42562	2.53132e+07
6.44177	2.62936e+07
6.45793	2.73121e+07
6.47409	2.837e+07
6.49024	2.94689e+07
6.5064	3.06104e+07
6.52255	3.17961e+07
6.53871	3.30277e+07
6.55487	3.43069e+07
6.57102	3.56358e+07
6.58718	3.70161e+07
6.60334	3.84499e+07
6.61949	3.99392e+07
6.63565	4.14862e+07
6.6518	4.30931e+07
6.66796	4.47623e+07
6.68412	4.64961e+07
6.70027	4.82971e+07
6.71643	5.01678e+07
6.73258	5.2111e+07
6.74874	5.41295e+07
6.7649	5.62261e+07
6.78105	5.84039e+07
6.79721	6.06661e+07
6.81336	6.30159e+07
6.82952	6.54567e+07
6.84568	6.79921e+07
6.86183	7.06257e+07
6.87799	7.33612e+07
6.89415	7.62028e+07
6.9103	7.91543e+07
6.92646	8.22202e+07
6.94261	8.54049e+07
6.95877	8.87129e+07
6.97493	9.2149e+07
6.99108	9.57182e+07
7.00724	9.94257e+07
7.02339	1.03277e+08
7.03955	1.07277e+08
7.05571	1.11432e+08
7.07186	1.15748e+08
7.08802	1.20231e+08
7.10417	1.24888e+08
7.12033	1.29726e+08
7.13649	1.3475e+08
7.15264	1.39969e+08
7.1688	1.45391e+08
7.18496	1.51022e+08
7.20111	1.56872e+08
7.21727	1.62948e+08
7.23342	1.69259e+08
7.24958	1.75815e+08
7.26574	1.82624e+08
7.28189	1.89698e+08
7.29805	1.97045e+08
7.3142	2.04677e+08
7.33036	2.12605e+08
7.34652	2.2084e+08
7.36267	2.29393e+08
7.37883	2.38278e+08
7.39499	2.47507e+08
7.41114	2.57093e+08
7.4273	2.67051e+08
7.44345	2.77395e+08
7.45961	2.88139e+08
7.47577	2.99299e+08
7.49192	3.10891e+08
