#Energy 	 NLD
4.46214	21.2208
4.49102	21.7746
4.5199	22.3415
4.54878	22.922
4.57766	23.5162
4.60654	24.1245
4.63542	24.7471
4.66431	25.3845
4.69319	26.0368
4.72207	26.7044
4.75095	27.3877
4.77983	28.087
4.80871	28.8025
4.83759	29.5347
4.86647	30.284
4.89535	31.0505
4.92423	31.8349
4.95311	32.6373
4.98199	33.4582
5.01087	34.298
5.03976	35.157
5.06864	36.0358
5.09752	36.9346
5.1264	37.8539
5.15528	38.7941
5.18416	39.7557
5.21304	40.7391
5.24192	41.7447
5.2708	42.7731
5.29968	43.8246
5.32856	44.8998
5.35744	45.9992
5.38632	47.1232
5.41521	48.2723
5.44409	49.4471
5.47297	50.6481
5.50185	51.8758
5.53073	53.1307
5.55961	54.4135
5.58849	55.7246
5.61737	57.0647
5.64625	58.4343
5.67513	59.834
5.70401	61.2645
5.73289	62.7264
5.76177	64.2202
5.79065	65.7466
5.81954	67.3064
5.84842	68.9
5.8773	70.5283
5.90618	72.1919
5.93506	73.8916
5.96394	75.6279
5.99282	77.4017
6.0217	79.2137
6.05058	81.0647
6.07946	82.9554
6.10834	84.8866
6.13722	86.859
6.1661	88.8736
6.19499	90.9312
6.22387	93.0325
6.25275	95.1784
6.28163	97.3699
6.31051	99.6078
6.33939	101.893
6.36827	104.226
6.39715	106.609
6.42603	109.041
6.45491	111.525
6.48379	114.061
6.51267	116.65
6.54155	119.293
6.57044	121.991
6.59932	124.745
6.6282	127.556
6.65708	130.426
6.68596	133.356
6.71484	136.346
6.74372	139.397
6.7726	142.512
6.80148	145.691
6.83036	148.935
6.85924	152.246
6.88812	155.624
6.917	159.072
6.94588	162.59
6.97477	166.18
7.00365	169.844
7.03253	173.581
7.06141	177.395
7.09029	181.286
7.11917	185.255
7.14805	189.305
7.17693	193.437
7.20581	197.652
7.23469	201.952
7.26357	206.338
7.29245	210.812
7.32133	215.376
7.35022	220.031
7.3791	224.78
7.40798	229.622
7.43686	234.562
7.46574	239.599
7.49462	244.737
7.5235	249.977
7.55238	255.32
7.58126	260.769
7.61014	266.325
7.63902	271.991
7.6679	277.769
7.69678	283.66
7.72567	289.667
7.75455	295.792
7.78343	302.037
7.81231	308.403
7.84119	314.894
7.87007	321.512
7.89895	328.258
7.92783	335.136
7.95671	342.147
7.98559	349.294
8.01447	356.579
8.04335	364.005
8.07223	371.575
8.10111	379.291
8.13	387.155
8.15888	395.17
8.18776	403.339
8.21664	411.665
8.24552	420.151
8.2744	428.798
8.30328	437.611
8.33216	446.592
8.36104	455.745
8.38992	465.071
8.4188	474.574
8.44768	484.258
8.47656	494.125
8.50545	504.179
8.53433	514.423
8.56321	524.86
8.59209	535.495
8.62097	546.329
8.64985	557.367
8.67873	568.612
8.70761	580.068
8.73649	591.739
8.76537	603.628
8.79425	615.74
8.82313	628.077
8.85201	640.644
8.8809	653.445
8.90978	666.484
8.93866	679.765
8.96754	693.292
8.99642	707.07
9.0253	721.103
9.05418	735.394
9.08306	749.95
9.11194	764.774
9.14082	779.87
9.1697	795.244
9.19858	810.901
9.22746	826.844
9.25634	843.079
9.28523	859.612
9.31411	876.446
9.34299	893.588
9.37187	911.042
9.40075	928.813
9.42963	946.908
9.45851	965.332
9.48739	984.089
9.51627	1003.19
9.54515	1022.63
9.57403	1042.42
9.60291	1062.58
9.63179	1083.09
9.66068	1103.98
9.68956	1125.24
9.71844	1146.88
9.74732	1168.91
9.7762	1191.33
9.80508	1214.16
9.83396	1237.4
9.86284	1261.05
9.89172	1285.12
9.9206	1309.62
9.94948	1334.56
9.97836	1359.94
10.0072	1385.77
10.0361	1412.06
10.065	1438.82
10.0939	1466.05
10.1228	1493.76
10.1516	1521.96
10.1805	1550.66
10.2094	1579.87
10.2383	1609.58
10.2672	1639.82
10.2961	1670.6
10.3249	1701.91
10.3538	1733.77
10.3827	1766.19
10.4116	1799.17
10.4405	1832.73
10.4693	1866.88
10.4982	1901.62
10.5271	1936.97
10.556	1972.93
10.5849	2009.52
10.6137	2046.74
10.6426	2084.6
10.6715	2123.13
10.7004	2162.31
10.7293	2202.18
10.7581	2242.73
10.787	2283.99
10.8159	2325.95
10.8448	2368.63
10.8737	2412.05
10.9025	2456.22
10.9314	2501.14
10.9603	2546.83
10.9892	2593.3
11.0181	2640.57
11.047	2688.64
11.0758	2737.54
11.1047	2787.27
11.1336	2837.84
11.1625	2889.28
11.1914	2941.59
11.2202	2994.78
11.2491	3048.88
11.278	3103.9
11.3069	3159.84
11.3358	3216.73
11.3646	3274.58
11.3935	3333.41
11.4224	3393.23
11.4513	3454.06
11.4802	3515.91
11.509	3578.79
11.5379	3642.74
11.5668	3707.75
11.5957	3773.86
11.6246	3841.07
11.6534	3909.4
11.6823	3978.88
11.7112	4049.51
11.7401	4121.32
11.769	4194.33
11.7979	4268.55
11.8267	4344.01
11.8556	4420.71
11.8845	4498.69
11.9134	4577.96
11.9423	4658.55
11.9711	4740.46
12	4823.73
12.0289	4908.38
12.0578	4994.41
12.0867	5081.87
12.1155	5170.77
12.1444	5261.12
12.1733	5352.96
12.2022	5446.31
12.2311	5541.19
12.2599	5637.62
12.2888	5735.63
12.3177	5835.24
12.3466	5936.48
12.3755	6039.37
12.4043	6143.93
12.4332	6250.2
12.4621	6358.2
12.491	6467.96
12.5199	6579.49
12.5488	6692.84
12.5776	6808.02
12.6065	6925.07
12.6354	7044.01
12.6643	7164.87
12.6932	7287.69
12.722	7412.48
12.7509	7539.29
12.7798	7668.14
12.8087	7799.06
12.8376	7932.09
12.8664	8067.25
12.8953	8204.59
12.9242	8344.12
12.9531	8485.89
12.982	8629.92
13.0108	8776.26
13.0397	8924.94
13.0686	9075.99
13.0975	9229.44
13.1264	9385.34
13.1552	9543.73
13.1841	9704.63
13.213	9868.08
13.2419	10034.1
13.2708	10202.8
13.2996	10374.2
13.3285	10548.2
13.3574	10725.1
13.3863	10904.7
13.4152	11087.1
13.4441	11272.5
13.4729	11460.7
13.5018	11651.9
13.5307	11846.1
13.5596	12043.4
13.5885	12243.8
13.6173	12447.3
13.6462	12654
13.6751	12864
13.704	13077.2
13.7329	13293.8
13.7617	13513.7
13.7906	13737.1
13.8195	13963.9
13.8484	14194.3
13.8773	14428.3
13.9061	14666
13.935	14907.3
13.9639	15152.4
13.9928	15401.2
14.0217	15654
14.0505	15910.6
14.0794	16171.2
14.1083	16435.9
14.1372	16704.6
14.1661	16977.5
14.195	17254.6
14.2238	17535.9
14.2527	17821.6
14.2816	18111.7
14.3105	18406.3
14.3394	18705.4
14.3682	19009
14.3971	19317.4
14.426	19630.4
14.4549	19948.2
14.4838	20271
14.5126	20598.6
14.5415	20931.2
14.5704	21269
14.5993	21611.8
14.6282	21959.9
14.657	22313.3
14.6859	22672.1
14.7148	23036.3
14.7437	23406
14.7726	23781.4
14.8014	24162.4
